DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	99.1484	0.0
2.935	99.0078	0.0
3.036	99.0234	0.0
3.137	99.0938	0.0
3.237	99.0469	0.0
3.339	98.8906	0.0
3.44	98.8203	0.0
3.541	98.8359	0.0
3.642	98.8125	0.0
3.742	98.7734	0.0
3.844	98.6172	0.0
3.944	98.6563	0.0
4.045	98.5391	0.0
4.146	98.5391	0.0
4.247	98.4688	0.0
4.348	98.4063	0.0
4.449	98.3125	0.0
4.55	98.2891	0.0
4.651	98.2031	0.0
4.752	98.1563	0.0
4.852	98.1016	0.0
4.954	98.0625	0.0
5.054	98.0313	0.0
5.155	97.9453	0.0
5.257	97.9219	0.0
5.357	97.7891	0.0
5.458	97.8281	0.0
5.559	97.7891	0.0
5.66	97.6719	0.0
5.761	97.6406	0.0
5.862	97.6484	0.0
5.962	97.6016	0.0
6.064	97.4219	0.0
6.165	97.3906	0.0
6.265	97.3672	0.0
6.367	97.2734	0.0
6.467	97.2578	0.0
6.569	97.2109	0.0
6.669	97.1797	0.0
6.77	97.1406	0.0
6.871	97.0938	0.0
6.972	96.9844	0.0
7.073	96.9141	0.0
7.174	96.8125	0.0
7.275	96.8438	0.0
7.375	96.8594	0.0
7.477	96.7031	0.0
7.577	96.6563	0.0
7.679	96.6641	0.0
7.779	96.6328	0.0
7.88	96.5156	0.0
7.982	96.4453	0.0
8.082	96.4531	0.0
8.183	96.3516	0.0
8.284	96.2656	0.0
8.385	96.25	0.0
8.485	96.1094	0.0
8.587	96.1016	0.0
8.687	96.0625	0.0
8.789	95.9922	0.0
8.89	95.9063	0.0
8.99	95.7813	0.0
9.092	95.8047	0.0
9.192	95.7813	0.0
9.293	95.7109	0.0
9.394	95.7109	0.0
9.495	95.6016	0.0
9.595	95.5313	0.0
9.697	95.4922	0.0
9.798	95.4609	0.0
9.899	95.3516	0.0
10.0	95.4219	0.0
10.1	95.3281	0.0
10.202	95.2266	0.0
10.303	95.25	0.0
10.403	95.1641	0.0
10.505	95.1172	0.0
10.605	95.0313	0.0
10.706	95.0078	0.0
10.807	94.9531	0.0
10.908	94.8906	0.0
11.01	94.7969	0.0
11.11	94.7031	0.0
11.211	94.7031	0.0
11.312	94.6406	0.0
11.413	94.6172	0.0
11.514	94.5625	0.0
11.615	94.5391	0.0
11.716	94.3984	0.0
11.817	94.3828	0.0
11.918	94.2891	0.0
12.019	94.3047	0.0
12.12	94.2891	0.0
12.221	94.1484	0.0
12.321	94.1953	0.0
12.423	94.1328	0.0
12.524	94.1016	0.0
12.624	93.9844	0.0
12.726	93.9453	0.0
12.826	93.8906	0.0
12.928	93.7891	0.0
13.029	93.8047	0.0
13.129	93.8047	0.0
13.231	93.5703	0.0
13.331	93.5469	0.0
13.432	93.5781	0.0
13.534	93.5781	0.0
13.634	93.4531	0.0
13.735	93.4219	0.0
13.836	93.5	0.0
13.937	93.3906	0.0
14.039	93.3516	0.0
14.139	93.2578	0.0
14.24	93.2031	0.0
14.341	93.1875	0.0
14.442	93.1172	0.0
14.543	93.0938	0.0
14.644	93.0	0.0
14.745	92.9375	0.0
14.846	92.8906	0.0
14.947	92.8594	0.0
15.048	92.8594	0.0
15.149	92.7656	0.0
15.25	92.7031	0.0
15.35	92.6328	0.0
15.452	92.6094	0.0
15.553	92.5391	0.0
15.653	92.4922	0.0
15.755	92.4531	0.0
15.855	92.4219	0.0
15.957	92.2891	0.0
16.058	92.2656	0.0
16.158	92.1641	0.0
16.26	92.1953	0.0
16.36	92.0859	0.0
16.461	92.0625	0.0
16.563	92.0156	0.0
16.663	92.0156	0.0
16.764	91.9141	0.0
16.865	91.8906	0.0
16.966	91.8203	0.0
17.068	91.7734	0.0
17.168	91.7031	0.0
17.269	91.5938	0.0
17.37	91.5859	0.0
17.471	91.4297	0.0
17.572	91.4922	0.0
17.673	91.4688	0.0
17.774	91.375	0.0
17.874	91.3516	0.0
17.976	91.375	0.0
18.077	91.3516	0.0
18.178	91.1719	0.0
18.279	91.1484	0.0
18.379	91.1484	0.0
18.481	91.1484	0.0
18.582	91.0234	0.0
18.682	90.9297	0.0
18.784	90.9766	0.0
18.884	90.9141	0.0
18.986	90.8594	0.0
19.087	90.7969	0.0
19.187	90.6953	0.0
19.289	90.625	0.0
19.389	90.6484	0.0
19.49	90.5078	0.0
19.592	90.5547	0.0
19.692	90.4922	0.0
19.793	90.3906	0.0
19.894	90.3906	0.0
19.995	90.375	0.0
20.097	90.2344	0.0
20.197	90.25	0.0
20.298	90.1328	0.0
20.399	90.1563	0.0
20.5	90.0703	0.0
20.601	90.0625	0.0
20.702	89.9688	0.0
20.803	89.9063	0.0
20.903	89.8125	0.0
21.005	89.8359	0.0
21.106	89.7969	0.0
21.207	89.7031	0.0
21.308	89.7031	0.0
21.408	89.625	0.0
21.51	89.5391	0.0
21.611	89.4609	0.0
21.711	89.3984	0.0
21.813	89.4141	0.0
21.913	89.4141	0.0
22.015	89.2734	0.0
22.116	89.2266	0.0
22.216	89.2578	0.0
22.318	89.1641	0.0
22.418	89.0234	0.0
22.519	89.0156	0.0
22.621	88.9688	0.0
22.721	88.9766	0.0
22.822	88.8984	0.0
22.923	88.7891	0.0
23.024	88.7891	0.0
23.126	88.8047	0.0
23.226	88.7891	0.0
23.327	88.7422	0.0
23.428	88.6719	0.0
23.529	88.6406	0.0
23.63	88.5547	0.0
23.731	88.4844	0.0
23.832	88.5078	0.0
23.932	88.4609	0.0
24.034	88.4063	0.0
24.135	88.2891	0.0
24.236	88.2656	0.0
24.337	88.2031	0.0
24.437	88.1563	0.0
24.539	88.1016	0.0
24.64	88.0781	0.0
24.74	88.0313	0.0
24.842	88.0078	0.0
24.942	87.9219	0.0
25.044	87.8984	0.0
25.145	87.8906	0.0
25.245	87.8672	0.0
25.347	87.7578	0.0
25.447	87.7031	0.0
25.548	87.6172	0.0
25.65	87.5938	0.0
25.75	87.5703	0.0
25.851	87.4531	0.0
25.952	87.4063	0.0
26.053	87.4141	0.0
26.155	87.3828	0.0
26.255	87.3125	0.0
26.356	87.2969	0.0
26.457	87.2656	0.0
26.558	87.2031	0.0
26.659	87.0859	0.0
26.76	87.0859	0.0
26.861	87.0625	0.0
26.961	86.9844	0.0
27.063	86.9375	0.0
27.164	86.875	0.0
27.265	86.8203	0.0
27.366	86.7969	0.0
27.466	86.75	0.0
27.568	86.7266	0.0
27.669	86.6172	0.0
27.769	86.6094	0.0
27.871	86.5469	0.0
27.971	86.5156	0.0
28.073	86.4766	0.0
28.174	86.4688	0.0
28.274	86.4219	0.0
28.376	86.3281	0.0
28.476	86.3359	0.0
28.577	86.2344	0.0
28.679	86.2188	0.0
28.779	86.1875	0.0
28.88	86.1406	0.0
28.981	86.0703	0.0
29.082	86.125	0.0
29.184	85.9844	0.0
29.284	85.8672	0.0
29.385	85.8594	0.0
29.486	85.7969	0.0
29.587	85.7891	0.0
29.688	85.7969	0.0
29.789	85.7969	0.0
29.89	85.6797	0.0
29.991	85.5625	0.0
30.092	85.5469	0.0
30.193	85.4063	0.0
30.294	85.4688	0.0
30.395	85.4219	0.0
30.496	85.3359	0.0
30.597	85.3047	0.0
30.698	85.2891	0.0
30.798	85.2422	0.0
30.9	85.1953	0.0
31.001	85.1875	0.0
31.102	85.125	0.0
31.203	85.0781	0.0
31.303	85.0078	0.0
31.405	84.9531	0.0
31.506	84.9141	0.0
31.606	84.8828	0.0
