DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	96.1797	0.0
2.935	96.1719	0.0
3.036	96.0313	0.0
3.137	96.0	0.0
3.237	96.0	0.0
3.339	95.9688	0.0
3.439	95.9063	0.0
3.541	95.8828	0.0
3.642	95.8281	0.0
3.742	95.7891	0.0
3.844	95.7656	0.0
3.944	95.6406	0.0
4.045	95.5547	0.0
4.146	95.5391	0.0
4.247	95.5391	0.0
4.347	95.4375	0.0
4.449	95.375	0.0
4.55	95.3281	0.0
4.651	95.2813	0.0
4.752	95.2969	0.0
4.852	95.2266	0.0
4.954	95.2031	0.0
5.054	95.1484	0.0
5.155	95.0781	0.0
5.256	95.0078	0.0
5.357	94.8906	0.0
5.458	94.9141	0.0
5.559	94.9297	0.0
5.66	94.7656	0.0
5.761	94.7969	0.0
5.862	94.7031	0.0
5.962	94.5859	0.0
6.064	94.5859	0.0
6.165	94.5156	0.0
6.265	94.4766	0.0
6.367	94.4297	0.0
6.467	94.4297	0.0
6.569	94.25	0.0
6.669	94.2188	0.0
6.77	94.2188	0.0
6.871	94.2422	0.0
6.972	94.125	0.0
7.073	94.0156	0.0
7.174	94.0625	0.0
7.275	94.0313	0.0
7.375	93.9375	0.0
7.477	93.8672	0.0
7.577	93.7813	0.0
7.679	93.7578	0.0
7.779	93.7109	0.0
7.88	93.6953	0.0
7.982	93.6016	0.0
8.082	93.5469	0.0
8.183	93.5234	0.0
8.284	93.5	0.0
8.385	93.3516	0.0
8.485	93.2813	0.0
8.587	93.2344	0.0
8.687	93.25	0.0
8.789	93.2109	0.0
8.889	93.1094	0.0
8.99	93.0625	0.0
9.092	93.1094	0.0
9.192	92.9766	0.0
9.293	92.8672	0.0
9.394	92.7969	0.0
9.495	92.7734	0.0
9.595	92.7266	0.0
9.697	92.6797	0.0
9.798	92.6953	0.0
9.899	92.6719	0.0
10.0	92.6094	0.0
10.1	92.5859	0.0
10.202	92.4766	0.0
10.302	92.3828	0.0
10.403	92.375	0.0
10.505	92.3047	0.0
10.605	92.2891	0.0
10.706	92.1719	0.0
10.807	92.1719	0.0
10.908	92.0781	0.0
11.01	92.0313	0.0
11.11	91.9453	0.0
11.211	91.9141	0.0
11.312	91.8047	0.0
11.413	91.8906	0.0
11.514	91.9141	0.0
11.615	91.7344	0.0
11.716	91.6328	0.0
11.817	91.75	0.0
11.918	91.6953	0.0
12.019	91.5	0.0
12.12	91.4688	0.0
12.221	91.4219	0.0
12.321	91.4063	0.0
12.423	91.3125	0.0
12.524	91.2813	0.0
12.624	91.2656	0.0
12.726	91.1406	0.0
12.826	91.0781	0.0
12.928	91.0703	0.0
13.029	91.0	0.0
13.129	90.9609	0.0
13.231	90.9297	0.0
13.331	90.8203	0.0
13.432	90.7422	0.0
13.534	90.7422	0.0
13.634	90.7734	0.0
13.735	90.7656	0.0
13.836	90.6484	0.0
13.937	90.5391	0.0
14.039	90.5156	0.0
14.139	90.5313	0.0
14.24	90.3984	0.0
14.341	90.4141	0.0
14.442	90.3672	0.0
14.543	90.3047	0.0
14.644	90.3203	0.0
14.745	90.1172	0.0
14.846	90.0938	0.0
14.947	90.0859	0.0
15.047	90.1094	0.0
15.149	90.0156	0.0
15.25	89.9453	0.0
15.35	89.8906	0.0
15.452	89.8438	0.0
15.552	89.8359	0.0
15.653	89.7031	0.0
15.755	89.6328	0.0
15.855	89.5625	0.0
15.957	89.5859	0.0
16.057	89.6016	0.0
16.158	89.5391	0.0
16.26	89.4922	0.0
16.36	89.3438	0.0
16.461	89.3672	0.0
16.563	89.25	0.0
16.663	89.2734	0.0
16.764	89.25	0.0
16.865	89.1094	0.0
16.966	89.0469	0.0
17.067	88.9688	0.0
17.168	89.0	0.0
17.269	88.9297	0.0
17.37	88.8516	0.0
17.471	88.8359	0.0
17.572	88.8594	0.0
17.673	88.7891	0.0
17.774	88.7578	0.0
17.874	88.6016	0.0
17.976	88.5469	0.0
18.077	88.5469	0.0
18.178	88.5469	0.0
18.279	88.5	0.0
18.379	88.4766	0.0
18.481	88.3906	0.0
18.582	88.3359	0.0
18.682	88.2656	0.0
18.784	88.1953	0.0
18.884	88.1094	0.0
18.986	88.1328	0.0
19.087	88.0625	0.0
19.187	88.0313	0.0
19.289	87.9922	0.0
19.389	87.9922	0.0
19.49	87.9375	0.0
19.592	87.7813	0.0
19.692	87.7734	0.0
19.793	87.6875	0.0
19.894	87.625	0.0
19.995	87.6797	0.0
20.097	87.5469	0.0
20.197	87.5	0.0
20.298	87.5234	0.0
20.399	87.5078	0.0
20.5	87.3203	0.0
20.601	87.2969	0.0
20.702	87.2969	0.0
20.803	87.2734	0.0
20.903	87.1953	0.0
21.005	87.1563	0.0
21.106	87.0547	0.0
21.207	87.0859	0.0
21.308	87.0156	0.0
21.408	86.9844	0.0
21.51	86.9219	0.0
21.611	86.9219	0.0
21.711	86.8281	0.0
21.813	86.7578	0.0
21.913	86.7109	0.0
22.015	86.6641	0.0
22.116	86.7109	0.0
22.216	86.5859	0.0
22.318	86.5703	0.0
22.418	86.4688	0.0
22.519	86.4297	0.0
22.621	86.4063	0.0
22.721	86.3828	0.0
22.822	86.3594	0.0
22.923	86.2422	0.0
23.024	86.2344	0.0
23.126	86.1875	0.0
23.226	86.125	0.0
23.327	86.0469	0.0
23.428	86.0	0.0
23.529	86.0234	0.0
23.63	85.9531	0.0
23.731	85.9141	0.0
23.832	85.8594	0.0
23.932	85.8125	0.0
24.034	85.7188	0.0
24.135	85.6797	0.0
24.236	85.6172	0.0
24.337	85.5859	0.0
24.437	85.6172	0.0
24.539	85.5469	0.0
24.64	85.5234	0.0
24.74	85.4922	0.0
24.842	85.3516	0.0
24.942	85.3047	0.0
25.044	85.3281	0.0
25.145	85.2578	0.0
25.245	85.2656	0.0
25.347	85.1484	0.0
25.447	85.1406	0.0
25.548	85.0313	0.0
25.65	85.0078	0.0
25.75	84.8906	0.0
25.851	84.9609	0.0
25.952	84.9297	0.0
26.053	84.7734	0.0
26.155	84.7734	0.0
26.255	84.7734	0.0
26.356	84.75	0.0
26.457	84.7031	0.0
26.558	84.6328	0.0
26.659	84.625	0.0
26.76	84.5625	0.0
26.861	84.4609	0.0
26.961	84.5313	0.0
27.063	84.4453	0.0
27.163	84.3438	0.0
27.265	84.3516	0.0
27.366	84.3047	0.0
27.466	84.25	0.0
27.568	84.1875	0.0
27.668	84.1797	0.0
27.769	84.0859	0.0
27.871	84.1172	0.0
27.971	84.0391	0.0
28.073	83.9766	0.0
28.173	83.875	0.0
28.274	83.9219	0.0
28.376	83.9063	0.0
28.476	83.875	0.0
28.577	83.8516	0.0
28.678	83.6719	0.0
28.779	83.625	0.0
28.88	83.6719	0.0
28.981	83.6641	0.0
29.082	83.5313	0.0
29.183	83.5156	0.0
29.284	83.4375	0.0
29.385	83.4453	0.0
29.486	83.3984	0.0
29.587	83.3047	0.0
29.687	83.2578	0.0
29.789	83.2109	0.0
29.89	83.2734	0.0
29.99	83.1875	0.0
30.092	83.1172	0.0
30.192	83.0938	0.0
30.294	83.0469	0.0
30.395	82.9922	0.0
30.495	82.9219	0.0
30.597	82.8594	0.0
30.697	82.8281	0.0
30.798	82.7422	0.0
30.9	82.8594	0.0
31.0	82.7578	0.0
31.102	82.6641	0.0
31.202	82.6641	0.0
31.303	82.6875	0.0
31.405	82.5703	0.0
31.505	82.4844	0.0
31.606	82.4375	0.0
31.707	82.4141	0.0
31.808	82.3906	0.0
31.909	82.3125	0.0
32.01	82.1953	0.0
32.111	82.2422	0.0
32.212	82.125	0.0
32.313	82.125	0.0
