DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	89.7891	0.0
2.935	89.7031	0.0
3.036	89.7188	0.0
3.137	89.625	0.0
3.237	89.6016	0.0
3.339	89.6094	0.0
3.44	89.5391	0.0
3.541	89.4844	0.0
3.642	89.4141	0.0
3.742	89.3516	0.0
3.844	89.3203	0.0
3.944	89.3281	0.0
4.045	89.3672	0.0
4.146	89.2734	0.0
4.247	89.2109	0.0
4.348	89.1094	0.0
4.449	89.1094	0.0
4.55	89.0625	0.0
4.651	88.9688	0.0
4.752	88.9297	0.0
4.852	88.9688	0.0
4.954	88.9688	0.0
5.055	88.7891	0.0
5.155	88.7656	0.0
5.257	88.7188	0.0
5.357	88.7578	0.0
5.458	88.6953	0.0
5.559	88.6172	0.0
5.66	88.5938	0.0
5.761	88.4609	0.0
5.862	88.4766	0.0
5.963	88.4141	0.0
6.064	88.3906	0.0
6.165	88.3906	0.0
6.265	88.3125	0.0
6.367	88.2422	0.0
6.467	88.2422	0.0
6.569	88.1094	0.0
6.67	88.0625	0.0
6.77	87.9219	0.0
6.872	87.9922	0.0
6.972	87.9453	0.0
7.073	87.875	0.0
7.174	87.8672	0.0
7.275	87.7813	0.0
7.375	87.7578	0.0
7.477	87.6797	0.0
7.578	87.6563	0.0
7.679	87.5547	0.0
7.78	87.5938	0.0
7.88	87.5	0.0
7.982	87.4609	0.0
8.082	87.3438	0.0
8.183	87.2734	0.0
8.285	87.2734	0.0
8.385	87.2422	0.0
8.486	87.2188	0.0
8.587	87.1719	0.0
8.688	87.0781	0.0
8.789	87.0156	0.0
8.89	86.9688	0.0
8.99	86.9453	0.0
9.092	86.8906	0.0
9.193	86.8203	0.0
9.293	86.8047	0.0
9.395	86.7031	0.0
9.495	86.6641	0.0
9.596	86.6563	0.0
9.697	86.5625	0.0
9.798	86.5703	0.0
9.899	86.5	0.0
10.0	86.4063	0.0
10.101	86.4219	0.0
10.202	86.3281	0.0
10.303	86.2891	0.0
10.403	86.2656	0.0
10.505	86.2813	0.0
10.606	86.2109	0.0
10.706	86.1719	0.0
10.808	86.0938	0.0
10.908	85.9609	0.0
11.01	86.0	0.0
11.111	86.0234	0.0
11.211	85.8359	0.0
11.313	85.8125	0.0
11.413	85.8438	0.0
11.514	85.75	0.0
11.616	85.7422	0.0
11.716	85.7188	0.0
11.818	85.6563	0.0
11.918	85.5938	0.0
12.019	85.5234	0.0
12.121	85.4688	0.0
12.221	85.3828	0.0
12.322	85.4453	0.0
12.424	85.3125	0.0
