DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.835	45.6953	0.0
2.937	45.6875	0.0
3.037	45.625	0.0
3.138	45.6484	0.0
3.239	45.625	0.0
3.34	45.6484	0.0
3.44	45.6953	0.0
3.542	45.625	0.0
3.642	45.5781	0.0
3.743	45.5078	0.0
3.845	45.5391	0.0
3.945	45.5313	0.0
4.047	45.4922	0.0
4.147	45.4375	0.0
4.248	45.4688	0.0
4.349	45.5078	0.0
4.45	45.375	0.0
4.55	45.3984	0.0
4.652	45.3984	0.0
4.753	45.4219	0.0
4.853	45.3125	0.0
4.955	45.3516	0.0
5.055	45.3281	0.0
5.157	45.3906	0.0
5.257	45.375	0.0
5.358	45.2813	0.0
5.459	45.2891	0.0
5.56	45.2109	0.0
5.661	45.1719	0.0
5.762	45.2344	0.0
5.863	45.1875	0.0
5.963	45.1328	0.0
6.065	45.1953	0.0
6.165	45.1328	0.0
6.267	45.0781	0.0
6.367	45.1016	0.0
6.468	45.1016	0.0
6.57	45.1094	0.0
6.67	45.0781	0.0
6.771	45.0547	0.0
6.872	45.0625	0.0
6.973	45.0547	0.0
7.074	45.0078	0.0
7.175	44.9844	0.0
7.276	44.9453	0.0
7.377	44.8516	0.0
7.478	44.9531	0.0
7.578	44.9063	0.0
7.68	44.8516	0.0
7.78	44.9688	0.0
7.881	44.9297	0.0
7.982	44.8516	0.0
8.083	44.8906	0.0
8.185	44.7969	0.0
8.285	44.8203	0.0
8.386	44.8516	0.0
8.487	44.8438	0.0
8.588	44.8047	0.0
8.688	44.7109	0.0
8.79	44.6641	0.0
8.89	44.7266	0.0
8.991	44.6875	0.0
9.093	44.75	0.0
9.193	44.7031	0.0
9.295	44.6719	0.0
9.395	44.5781	0.0
9.496	44.5547	0.0
9.597	44.5078	0.0
9.698	44.5781	0.0
9.799	44.5313	0.0
9.9	44.5078	0.0
10.001	44.5078	0.0
10.101	44.4609	0.0
10.203	44.5	0.0
10.303	44.5	0.0
10.405	44.4219	0.0
10.506	44.4141	0.0
10.606	44.4609	0.0
10.708	44.3984	0.0
10.808	44.4141	0.0
10.909	44.375	0.0
11.011	44.3281	0.0
11.111	44.3516	0.0
11.213	44.2813	0.0
11.313	44.2813	0.0
11.414	44.3281	0.0
11.516	44.2578	0.0
11.616	44.1875	0.0
11.717	44.3047	0.0
11.818	44.2813	0.0
11.919	44.2891	0.0
12.02	44.2422	0.0
12.121	44.0547	0.0
12.222	44.0781	0.0
12.323	44.1172	0.0
12.424	44.1172	0.0
