DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	98.1719	0.0
2.935	98.1563	0.0
3.036	98.0625	0.0
3.137	97.9922	0.0
3.237	97.9531	0.0
3.339	97.9063	0.0
3.44	97.8516	0.0
3.541	97.8281	0.0
3.642	97.8281	0.0
3.742	97.7813	0.0
3.844	97.6875	0.0
3.944	97.5547	0.0
4.045	97.5313	0.0
4.146	97.4922	0.0
4.247	97.4609	0.0
4.348	97.4375	0.0
4.449	97.3281	0.0
4.55	97.25	0.0
4.651	97.3203	0.0
4.752	97.1172	0.0
4.852	97.1172	0.0
4.954	97.0234	0.0
5.054	97.0234	0.0
5.155	96.9297	0.0
5.257	96.8906	0.0
5.357	96.7969	0.0
5.458	96.7969	0.0
5.559	96.7188	0.0
5.66	96.5859	0.0
5.761	96.5859	0.0
5.862	96.5	0.0
5.962	96.5859	0.0
6.064	96.4766	0.0
6.165	96.3594	0.0
6.265	96.3359	0.0
6.367	96.3125	0.0
6.467	96.2656	0.0
6.569	96.1563	0.0
6.669	96.1484	0.0
6.77	96.0859	0.0
6.871	96.0547	0.0
6.972	95.9531	0.0
7.073	95.9219	0.0
7.174	95.8516	0.0
7.275	95.8359	0.0
7.375	95.8125	0.0
7.477	95.7188	0.0
7.577	95.6406	0.0
7.679	95.6016	0.0
7.779	95.6016	0.0
7.88	95.4453	0.0
7.982	95.4141	0.0
8.082	95.4609	0.0
8.183	95.3906	0.0
8.284	95.3281	0.0
8.385	95.2734	0.0
8.485	95.1406	0.0
8.587	95.0938	0.0
8.687	95.1172	0.0
8.789	95.0469	0.0
8.89	94.9766	0.0
8.99	94.9375	0.0
9.092	94.8594	0.0
9.192	94.7891	0.0
9.293	94.75	0.0
9.394	94.6797	0.0
9.495	94.7266	0.0
9.595	94.5703	0.0
9.697	94.5469	0.0
9.798	94.4922	0.0
9.899	94.4219	0.0
10.0	94.3984	0.0
10.1	94.3516	0.0
10.202	94.2656	0.0
10.303	94.1719	0.0
10.403	94.1953	0.0
10.505	94.1719	0.0
10.605	94.1094	0.0
10.706	93.9453	0.0
10.808	93.9453	0.0
10.908	94.0313	0.0
11.01	93.7891	0.0
11.11	93.7344	0.0
11.211	93.6719	0.0
11.313	93.7109	0.0
11.413	93.625	0.0
11.514	93.5781	0.0
11.615	93.5	0.0
11.716	93.4375	0.0
11.817	93.4531	0.0
11.918	93.3672	0.0
12.019	93.3672	0.0
12.12	93.3203	0.0
12.221	93.2578	0.0
12.321	93.1172	0.0
12.423	93.0859	0.0
12.524	93.0391	0.0
12.624	93.0	0.0
12.726	93.0156	0.0
12.826	92.9297	0.0
12.928	92.9063	0.0
13.029	92.75	0.0
13.129	92.7734	0.0
13.231	92.6953	0.0
13.331	92.7188	0.0
13.432	92.6016	0.0
13.534	92.5625	0.0
13.634	92.4531	0.0
13.735	92.4219	0.0
13.836	92.375	0.0
13.937	92.375	0.0
14.039	92.3984	0.0
14.139	92.2188	0.0
14.24	92.1719	0.0
14.341	92.1875	0.0
14.442	92.1719	0.0
14.543	92.1016	0.0
14.644	92.0391	0.0
14.745	91.9375	0.0
14.846	91.9375	0.0
14.947	91.8984	0.0
15.048	91.875	0.0
15.149	91.6797	0.0
15.25	91.7109	0.0
15.35	91.6406	0.0
15.452	91.6406	0.0
15.553	91.5469	0.0
15.653	91.4766	0.0
15.755	91.4688	0.0
15.855	91.4063	0.0
15.957	91.4063	0.0
16.058	91.2344	0.0
16.158	91.2344	0.0
16.26	91.1641	0.0
16.36	91.1172	0.0
16.461	91.1484	0.0
16.563	91.0313	0.0
16.663	90.9844	0.0
16.764	90.9844	0.0
16.865	90.8828	0.0
16.966	90.9141	0.0
17.068	90.7891	0.0
17.168	90.6953	0.0
17.269	90.625	0.0
17.37	90.625	0.0
17.471	90.6016	0.0
17.572	90.4922	0.0
17.673	90.4609	0.0
17.774	90.3672	0.0
17.874	90.3984	0.0
17.976	90.3281	0.0
18.077	90.25	0.0
18.178	90.1797	0.0
18.279	90.1563	0.0
18.379	90.1094	0.0
18.481	90.0703	0.0
18.582	90.1172	0.0
18.682	89.9766	0.0
18.784	89.9922	0.0
18.884	89.8359	0.0
18.986	89.7969	0.0
19.087	89.8359	0.0
19.187	89.75	0.0
19.289	89.6719	0.0
19.389	89.7188	0.0
19.49	89.625	0.0
19.592	89.5781	0.0
19.692	89.5313	0.0
19.793	89.4844	0.0
19.894	89.3984	0.0
19.995	89.3047	0.0
20.097	89.2813	0.0
20.197	89.2344	0.0
20.298	89.2344	0.0
20.399	89.2344	0.0
20.5	89.0391	0.0
20.601	89.0938	0.0
20.702	89.0469	0.0
20.803	88.9531	0.0
20.903	88.9297	0.0
21.005	88.875	0.0
21.106	88.7813	0.0
21.207	88.7422	0.0
21.308	88.6875	0.0
21.408	88.6406	0.0
21.51	88.5703	0.0
21.611	88.5313	0.0
21.711	88.5547	0.0
21.813	88.5	0.0
21.913	88.4375	0.0
22.015	88.3828	0.0
22.116	88.2891	0.0
22.216	88.2422	0.0
22.318	88.2266	0.0
22.418	88.2188	0.0
22.519	88.1328	0.0
22.621	88.125	0.0
22.721	88.0547	0.0
22.822	88.0078	0.0
22.923	87.9609	0.0
23.024	87.9219	0.0
23.126	87.9375	0.0
23.226	87.7969	0.0
23.327	87.7969	0.0
23.428	87.625	0.0
23.529	87.6406	0.0
23.63	87.5938	0.0
23.731	87.5547	0.0
23.832	87.4766	0.0
23.932	87.4297	0.0
24.034	87.3672	0.0
24.135	87.3438	0.0
24.236	87.3125	0.0
24.337	87.2969	0.0
24.437	87.2422	0.0
24.539	87.1563	0.0
24.64	87.0625	0.0
24.74	87.0156	0.0
24.842	87.1016	0.0
24.942	86.9453	0.0
25.044	86.9453	0.0
25.145	86.9219	0.0
25.245	86.875	0.0
25.347	86.8047	0.0
25.447	86.7031	0.0
25.548	86.6406	0.0
25.65	86.6328	0.0
25.75	86.7109	0.0
25.851	86.5938	0.0
25.952	86.5156	0.0
26.053	86.4922	0.0
26.155	86.4922	0.0
26.255	86.4688	0.0
26.356	86.3281	0.0
26.457	86.2813	0.0
26.558	86.2422	0.0
26.659	86.2344	0.0
26.76	86.2344	0.0
26.861	86.1719	0.0
26.961	86.1172	0.0
27.063	86.0313	0.0
27.164	85.9766	0.0
27.265	85.9609	0.0
27.366	85.9531	0.0
27.466	85.8906	0.0
27.568	85.8203	0.0
27.669	85.7656	0.0
27.769	85.7422	0.0
27.871	85.6953	0.0
27.971	85.6719	0.0
28.073	85.5859	0.0
28.174	85.4766	0.0
28.274	85.4922	0.0
28.376	85.4922	0.0
28.476	85.4219	0.0
28.577	85.2344	0.0
28.679	85.2656	0.0
28.779	85.3359	0.0
28.88	85.2813	0.0
28.981	85.125	0.0
29.082	85.0781	0.0
29.184	85.0469	0.0
29.284	85.0	0.0
29.385	85.0	0.0
29.486	84.8594	0.0
29.587	84.8906	0.0
29.688	84.8438	0.0
29.789	84.8594	0.0
29.89	84.7422	0.0
29.99	84.6563	0.0
30.092	84.6484	0.0
30.193	84.6719	0.0
30.294	84.6484	0.0
30.395	84.5313	0.0
30.495	84.5078	0.0
30.597	84.4844	0.0
30.698	84.4141	0.0
30.798	84.3203	0.0
30.9	84.2969	0.0
31.0	84.2266	0.0
31.102	84.2266	0.0
31.203	84.1875	0.0
31.303	84.2031	0.0
31.405	84.1328	0.0
31.505	84.0859	0.0
31.606	83.9766	0.0
31.708	83.9766	0.0
31.808	83.875	0.0
31.909	83.8828	0.0
32.01	83.8828	0.0
32.111	83.7188	0.0
32.213	83.7422	0.0
32.313	83.6641	0.0
32.414	83.6484	0.0
32.515	83.6641	0.0
32.616	83.4922	0.0
32.717	83.5078	0.0
32.818	83.5078	0.0
32.919	83.5078	0.0
33.019	83.375	0.0
33.121	83.3047	0.0
33.222	83.2969	0.0
33.323	83.2031	0.0
33.424	83.2109	0.0
33.524	83.1406	0.0
33.626	83.1641	0.0
33.727	83.1563	0.0
33.827	83.0156	0.0
33.929	83.0	0.0
34.029	82.9063	0.0
34.13	82.9688	0.0
34.232	82.9219	0.0
34.332	82.9063	0.0
34.434	82.7344	0.0
34.534	82.6484	0.0
34.635	82.7109	0.0
34.737	82.6484	0.0
34.837	82.6641	0.0
34.938	82.5547	0.0
35.039	82.5781	0.0
35.14	82.5781	0.0
35.242	82.4531	0.0
35.342	82.3906	0.0
35.443	82.3672	0.0
35.544	82.3359	0.0
35.645	82.2422	0.0
35.746	82.2422	0.0
35.847	82.1797	0.0
35.948	82.1484	0.0
36.048	82.1563	0.0
36.15	82.1328	0.0
36.251	81.9609	0.0
36.352	81.9688	0.0
36.453	81.9375	0.0
36.553	81.8438	0.0
36.655	81.8438	0.0
36.756	81.7813	0.0
36.856	81.7578	0.0
36.958	81.7734	0.0
37.058	81.6328	0.0
37.159	81.5547	0.0
37.261	81.5781	0.0
37.361	81.5547	0.0
37.463	81.5547	0.0
37.563	81.4766	0.0
37.664	81.4063	0.0
37.766	81.3359	0.0
37.866	81.3203	0.0
37.967	81.2891	0.0
38.068	81.1484	0.0
38.169	81.1797	0.0
38.271	81.2031	0.0
38.371	81.1953	0.0
38.472	81.125	0.0
38.573	81.0781	0.0
38.674	81.0313	0.0
38.775	80.9688	0.0
38.876	80.9375	0.0
38.977	80.875	0.0
39.077	80.8516	0.0
39.179	80.8203	0.0
39.28	80.8047	0.0
39.381	80.6563	0.0
39.482	80.6328	0.0
39.582	80.6094	0.0
39.684	80.6094	0.0
39.785	80.6406	0.0
39.885	80.5156	0.0
39.987	80.5156	0.0
40.087	80.4297	0.0
40.188	80.3281	0.0
40.29	80.3359	0.0
40.39	80.3594	0.0
40.492	80.2344	0.0
40.592	80.2109	0.0
40.693	80.1953	0.0
40.795	80.1953	0.0
40.895	80.1875	0.0
40.996	80.1172	0.0
41.097	80.0469	0.0
41.198	79.9609	0.0
41.298	80.0234	0.0
41.4	79.8672	0.0
41.501	79.7969	0.0
41.602	79.8203	0.0
41.703	79.7656	0.0
41.803	79.75	0.0
41.905	79.7031	0.0
42.006	79.6563	0.0
42.106	79.6953	0.0
42.208	79.5234	0.0
42.308	79.5156	0.0
42.41	79.4922	0.0
42.511	79.4219	0.0
42.611	79.3594	0.0
42.713	79.3516	0.0
42.814	79.3281	0.0
42.914	79.3125	0.0
43.016	79.2656	0.0
43.116	79.1719	0.0
43.217	79.1875	0.0
43.319	79.1484	0.0
43.419	79.0703	0.0
43.521	79.0234	0.0
43.621	78.9844	0.0
43.722	78.9766	0.0
43.824	78.9141	0.0
43.924	78.8359	0.0
44.025	78.8828	0.0
44.126	78.8125	0.0
44.227	78.7969	0.0
44.329	78.7266	0.0
44.429	78.625	0.0
44.53	78.5781	0.0
44.631	78.5625	0.0
44.732	78.5781	0.0
44.833	78.5078	0.0
44.934	78.3984	0.0
45.035	78.4375	0.0
45.135	78.3359	0.0
45.237	78.3672	0.0
45.338	78.3125	0.0
45.439	78.2656	0.0
45.54	78.2422	0.0
45.64	78.1875	0.0
45.742	78.1484	0.0
45.843	78.1406	0.0
45.943	78.1719	0.0
46.045	78.0703	0.0
46.145	77.8984	0.0
46.246	77.8984	0.0
46.348	77.875	0.0
46.448	77.8438	0.0
46.55	77.7813	0.0
46.65	77.7969	0.0
46.751	77.7813	0.0
46.853	77.7109	0.0
46.953	77.6406	0.0
47.054	77.5859	0.0
47.155	77.6563	0.0
47.256	77.5156	0.0
47.358	77.4688	0.0
47.458	77.375	0.0
47.559	77.4297	0.0
47.66	77.4688	0.0
47.761	77.2656	0.0
47.862	77.3281	0.0
47.963	77.2578	0.0
48.064	77.2109	0.0
48.164	77.1641	0.0
48.266	77.125	0.0
48.367	77.1016	0.0
48.468	77.0313	0.0
48.569	76.9531	0.0
48.669	76.9375	0.0
48.771	76.9531	0.0
48.872	76.8594	0.0
48.972	76.8438	0.0
49.074	76.8359	0.0
49.174	76.75	0.0
49.275	76.7422	0.0
