DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	94.3516	0.0
2.935	94.3281	0.0
3.036	94.2266	0.0
3.137	94.1797	0.0
3.237	94.1094	0.0
3.339	94.0859	0.0
3.44	94.0391	0.0
3.541	93.9609	0.0
3.642	93.9844	0.0
3.742	93.8906	0.0
3.844	93.8359	0.0
3.944	93.7813	0.0
4.045	93.7422	0.0
4.147	93.7109	0.0
4.247	93.7422	0.0
4.348	93.7109	0.0
4.449	93.6641	0.0
4.55	93.5938	0.0
4.652	93.4844	0.0
4.752	93.5	0.0
4.853	93.5	0.0
4.954	93.4531	0.0
5.055	93.3672	0.0
5.155	93.2969	0.0
5.257	93.2969	0.0
5.358	93.2344	0.0
5.458	93.1641	0.0
5.56	93.0859	0.0
5.66	93.0156	0.0
5.762	92.9609	0.0
5.863	93.0	0.0
5.963	92.9063	0.0
6.065	92.8594	0.0
6.165	92.8594	0.0
6.266	92.8438	0.0
6.367	92.7422	0.0
6.468	92.7734	0.0
6.57	92.6563	0.0
6.67	92.6328	0.0
6.771	92.6563	0.0
6.872	92.5391	0.0
6.973	92.5	0.0
7.074	92.3125	0.0
7.175	92.2891	0.0
7.276	92.3594	0.0
7.376	92.3828	0.0
7.478	92.2656	0.0
7.578	92.1406	0.0
7.68	92.1484	0.0
7.781	92.0391	0.0
7.881	92.0391	0.0
7.983	91.9688	0.0
8.083	91.9453	0.0
8.184	91.9453	0.0
8.286	91.8672	0.0
8.386	91.8438	0.0
8.487	91.8203	0.0
8.588	91.7578	0.0
8.689	91.6797	0.0
8.79	91.6172	0.0
8.891	91.6094	0.0
8.992	91.5859	0.0
9.093	91.4688	0.0
9.194	91.4063	0.0
9.294	91.3828	0.0
9.396	91.2891	0.0
9.497	91.2656	0.0
9.598	91.2109	0.0
9.699	91.1719	0.0
9.799	91.1484	0.0
9.901	91.1484	0.0
10.001	91.0469	0.0
10.102	90.9297	0.0
10.204	90.9375	0.0
10.304	90.9609	0.0
10.405	90.8906	0.0
10.507	90.8594	0.0
10.607	90.75	0.0
10.709	90.7422	0.0
10.81	90.6797	0.0
10.91	90.6484	0.0
11.012	90.5625	0.0
11.112	90.5156	0.0
11.213	90.5156	0.0
11.315	90.5313	0.0
11.415	90.3281	0.0
11.516	90.3984	0.0
11.618	90.3984	0.0
11.718	90.375	0.0
11.82	90.1406	0.0
11.92	90.1797	0.0
12.021	90.0703	0.0
12.123	90.1563	0.0
12.223	90.0625	0.0
12.324	89.9453	0.0
12.426	89.8828	0.0
12.526	89.8906	0.0
12.628	89.8828	0.0
12.728	89.8125	0.0
12.829	89.7734	0.0
12.931	89.7734	0.0
13.031	89.6953	0.0
13.132	89.5625	0.0
13.234	89.5313	0.0
13.334	89.6016	0.0
13.435	89.5781	0.0
13.537	89.4609	0.0
13.637	89.3984	0.0
13.739	89.4141	0.0
13.839	89.2969	0.0
13.94	89.2734	0.0
14.042	89.2734	0.0
14.142	89.1797	0.0
14.243	89.2031	0.0
14.345	89.1406	0.0
14.445	89.1641	0.0
14.546	88.9922	0.0
14.648	89.0156	0.0
14.748	88.9688	0.0
14.85	88.8516	0.0
14.95	88.875	0.0
15.051	88.8047	0.0
15.153	88.8047	0.0
15.253	88.7578	0.0
15.354	88.6953	0.0
15.456	88.6172	0.0
15.556	88.5547	0.0
15.658	88.5469	0.0
15.758	88.5547	0.0
15.859	88.4609	0.0
15.961	88.4531	0.0
16.061	88.4141	0.0
16.162	88.3438	0.0
16.264	88.3203	0.0
16.364	88.25	0.0
16.465	88.1484	0.0
16.567	88.1484	0.0
16.667	88.1719	0.0
16.769	88.0156	0.0
16.869	87.9688	0.0
16.97	87.9609	0.0
17.072	87.9453	0.0
17.172	87.9141	0.0
17.273	87.8203	0.0
17.375	87.7969	0.0
17.475	87.7109	0.0
17.577	87.6797	0.0
17.677	87.6016	0.0
17.778	87.6406	0.0
17.88	87.6016	0.0
17.98	87.5781	0.0
18.081	87.5	0.0
18.183	87.4141	0.0
18.283	87.3203	0.0
18.384	87.3125	0.0
18.486	87.2656	0.0
18.586	87.2656	0.0
18.688	87.2656	0.0
18.788	87.2031	0.0
18.889	87.1719	0.0
18.991	87.1016	0.0
19.091	87.0391	0.0
19.192	87.0156	0.0
19.294	87.0156	0.0
19.394	86.8984	0.0
19.495	86.9141	0.0
19.596	86.8906	0.0
19.697	86.7266	0.0
19.799	86.7266	0.0
19.899	86.7266	0.0
20.0	86.6094	0.0
20.102	86.5938	0.0
20.202	86.5859	0.0
20.303	86.5234	0.0
20.404	86.3984	0.0
20.505	86.4922	0.0
20.607	86.4766	0.0
20.707	86.4297	0.0
20.808	86.2578	0.0
20.91	86.1719	0.0
21.01	86.2656	0.0
21.111	86.2109	0.0
21.213	86.1406	0.0
21.313	86.0313	0.0
21.414	86.0234	0.0
21.515	86.125	0.0
21.616	86.0	0.0
21.718	85.9531	0.0
21.818	85.9063	0.0
21.919	85.7891	0.0
22.021	85.8203	0.0
22.121	85.7891	0.0
22.222	85.7188	0.0
22.323	85.6563	0.0
22.424	85.6719	0.0
22.526	85.6563	0.0
22.626	85.5625	0.0
22.727	85.5	0.0
22.829	85.4453	0.0
22.929	85.4688	0.0
23.03	85.3984	0.0
23.132	85.2891	0.0
23.232	85.3125	0.0
23.333	85.1953	0.0
23.434	85.2344	0.0
23.535	85.0703	0.0
23.637	85.1172	0.0
23.737	85.1016	0.0
23.838	85.0781	0.0
23.94	84.9609	0.0
24.04	85.0	0.0
24.141	84.9297	0.0
24.242	84.9297	0.0
24.343	84.8672	0.0
24.444	84.8438	0.0
24.545	84.7656	0.0
24.646	84.7266	0.0
24.748	84.6797	0.0
24.848	84.6484	0.0
24.949	84.6953	0.0
25.05	84.6328	0.0
25.151	84.4922	0.0
25.252	84.5859	0.0
25.353	84.3906	0.0
25.454	84.375	0.0
25.556	84.375	0.0
25.656	84.2969	0.0
25.757	84.2734	0.0
25.859	84.2109	0.0
25.959	84.1641	0.0
26.06	84.0859	0.0
26.161	84.1328	0.0
26.262	84.0391	0.0
26.363	84.0469	0.0
26.464	83.9766	0.0
26.565	83.9922	0.0
26.667	83.8984	0.0
26.767	83.875	0.0
26.868	83.8359	0.0
26.969	83.7578	0.0
27.07	83.7422	0.0
27.171	83.6953	0.0
27.272	83.5625	0.0
27.373	83.5547	0.0
27.474	83.5078	0.0
27.575	83.5156	0.0
27.676	83.4688	0.0
27.778	83.5078	0.0
27.878	83.375	0.0
27.979	83.3672	0.0
28.08	83.3281	0.0
28.181	83.2344	0.0
28.282	83.25	0.0
28.383	83.2344	0.0
28.484	83.1406	0.0
28.586	83.0859	0.0
28.686	83.0703	0.0
28.787	83.0234	0.0
28.888	82.9531	0.0
28.989	82.9531	0.0
29.09	82.8984	0.0
29.191	82.8125	0.0
29.292	82.8828	0.0
29.393	82.8594	0.0
29.494	82.7578	0.0
29.595	82.6953	0.0
29.696	82.6719	0.0
29.797	82.6016	0.0
29.898	82.5547	0.0
29.999	82.5	0.0
30.1	82.4609	0.0
30.201	82.4766	0.0
30.302	82.3906	0.0
30.403	82.3203	0.0
30.503	82.2734	0.0
30.605	82.3359	0.0
30.706	82.2969	0.0
30.807	82.2422	0.0
30.908	82.2266	0.0
31.009	82.2422	0.0
31.11	82.1797	0.0
31.211	82.1016	0.0
31.311	81.9922	0.0
31.413	82.0156	0.0
31.514	81.9844	0.0
31.615	81.9688	0.0
31.716	81.9141	0.0
31.817	81.8516	0.0
31.918	81.875	0.0
32.019	81.8047	0.0
32.119	81.7266	0.0
32.221	81.6563	0.0
32.322	81.6563	0.0
32.422	81.6172	0.0
32.524	81.4844	0.0
32.625	81.5547	0.0
32.726	81.4609	0.0
32.827	81.3828	0.0
32.928	81.4531	0.0
33.029	81.3438	0.0
33.13	81.3594	0.0
33.23	81.2969	0.0
33.332	81.2266	0.0
33.433	81.2266	0.0
33.534	81.1328	0.0
33.635	81.0625	0.0
33.736	81.0781	0.0
33.837	81.0156	0.0
33.938	80.9219	0.0
34.038	80.9609	0.0
34.14	80.9922	0.0
34.241	80.9375	0.0
34.341	80.8672	0.0
34.443	80.8203	0.0
34.544	80.8438	0.0
34.645	80.7813	0.0
34.746	80.8438	0.0
34.846	80.6563	0.0
34.948	80.6094	0.0
35.049	80.5859	0.0
35.149	80.5156	0.0
35.251	80.5	0.0
35.352	80.4922	0.0
35.452	80.4219	0.0
35.554	80.4219	0.0
35.654	80.3125	0.0
35.756	80.2891	0.0
35.857	80.2891	0.0
35.957	80.2656	0.0
36.059	80.2188	0.0
36.16	80.1484	0.0
36.26	80.0547	0.0
36.362	80.0938	0.0
36.462	80.0313	0.0
36.564	80.0703	0.0
36.665	79.9766	0.0
36.765	79.8906	0.0
36.867	79.8125	0.0
36.968	79.9297	0.0
37.068	79.7656	0.0
37.17	79.7656	0.0
37.27	79.7422	0.0
37.371	79.7031	0.0
37.473	79.7188	0.0
37.573	79.5938	0.0
37.675	79.5938	0.0
37.776	79.5703	0.0
37.876	79.5	0.0
37.978	79.5	0.0
38.079	79.4453	0.0
38.179	79.3594	0.0
38.281	79.3828	0.0
38.381	79.3125	0.0
38.482	79.2578	0.0
38.584	79.2422	0.0
38.684	79.2578	0.0
38.786	79.1172	0.0
38.887	79.125	0.0
38.987	79.1172	0.0
39.089	79.0938	0.0
39.189	79.0	0.0
39.29	79.0078	0.0
39.392	78.9766	0.0
39.492	78.8359	0.0
39.594	78.7969	0.0
39.695	78.8672	0.0
39.795	78.7969	0.0
39.897	78.6797	0.0
39.998	78.7422	0.0
40.098	78.6719	0.0
40.2	78.6563	0.0
40.3	78.6719	0.0
40.401	78.5547	0.0
40.503	78.4922	0.0
40.603	78.5391	0.0
40.705	78.3516	0.0
40.806	78.3359	0.0
40.906	78.4375	0.0
41.008	78.3516	0.0
41.108	78.3125	0.0
41.209	78.2813	0.0
41.311	78.1875	0.0
41.411	78.2422	0.0
41.513	78.1953	0.0
41.614	78.0547	0.0
41.714	77.9844	0.0
41.816	78.0234	0.0
41.916	77.9375	0.0
42.017	77.9297	0.0
42.119	77.8984	0.0
42.219	77.8906	0.0
42.32	77.7969	0.0
42.422	77.7813	0.0
42.522	77.7734	0.0
42.624	77.6406	0.0
42.725	77.5938	0.0
42.825	77.5703	0.0
42.927	77.5625	0.0
43.027	77.4766	0.0
43.128	77.4688	0.0
43.23	77.4453	0.0
43.33	77.4297	0.0
43.431	77.4453	0.0
43.533	77.3359	0.0
43.633	77.2578	0.0
43.735	77.1719	0.0
43.836	77.1406	0.0
43.936	77.1484	0.0
44.038	77.125	0.0
44.138	77.0703	0.0
44.239	77.0469	0.0
44.341	77.0234	0.0
44.441	76.8906	0.0
44.543	76.9844	0.0
44.644	76.9609	0.0
44.744	76.8438	0.0
44.846	76.8359	0.0
44.946	76.7891	0.0
45.047	76.7734	0.0
45.149	76.75	0.0
