DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	90.5547	0.0
2.935	90.4844	0.0
3.036	90.4375	0.0
3.137	90.3984	0.0
3.237	90.3281	0.0
3.339	90.4219	0.0
3.44	90.2969	0.0
3.541	90.25	0.0
3.642	90.1797	0.0
3.742	90.0938	0.0
3.844	90.0	0.0
3.944	90.0	0.0
4.045	90.0234	0.0
4.146	89.9453	0.0
4.247	90.0234	0.0
4.348	90.0234	0.0
4.449	89.8828	0.0
4.55	89.8125	0.0
4.651	89.7656	0.0
4.752	89.6797	0.0
4.852	89.6719	0.0
4.954	89.6719	0.0
5.055	89.5156	0.0
5.155	89.4922	0.0
5.257	89.4609	0.0
5.357	89.4453	0.0
5.458	89.4375	0.0
5.559	89.3438	0.0
5.66	89.3047	0.0
5.762	89.3047	0.0
5.862	89.2969	0.0
5.963	89.1406	0.0
6.064	89.1406	0.0
6.165	89.1641	0.0
6.265	89.0703	0.0
6.367	88.9297	0.0
6.468	88.9531	0.0
6.569	88.8594	0.0
6.67	88.8984	0.0
6.77	88.8281	0.0
6.872	88.9063	0.0
6.972	88.7422	0.0
7.073	88.6875	0.0
7.175	88.7422	0.0
7.275	88.6641	0.0
7.376	88.6016	0.0
7.477	88.6641	0.0
7.578	88.5938	0.0
7.679	88.4609	0.0
7.78	88.3672	0.0
7.881	88.4375	0.0
7.982	88.4375	0.0
8.083	88.3594	0.0
8.183	88.3203	0.0
8.285	88.2266	0.0
8.385	88.1484	0.0
8.486	88.1719	0.0
8.587	88.1016	0.0
8.688	88.0078	0.0
8.79	88.0313	0.0
8.89	87.9219	0.0
8.991	87.9375	0.0
9.092	87.875	0.0
9.193	87.8281	0.0
9.293	87.7969	0.0
9.395	87.8047	0.0
9.496	87.7266	0.0
9.596	87.6641	0.0
9.698	87.5938	0.0
9.798	87.6797	0.0
9.9	87.5703	0.0
10.0	87.5078	0.0
10.101	87.4063	0.0
10.203	87.3359	0.0
10.303	87.3203	0.0
10.404	87.3438	0.0
10.505	87.2969	0.0
10.606	87.2188	0.0
10.708	87.25	0.0
10.808	87.2266	0.0
10.909	87.125	0.0
11.011	87.0781	0.0
11.111	87.0391	0.0
11.212	86.9922	0.0
11.313	86.9609	0.0
11.414	86.8984	0.0
11.515	86.8516	0.0
11.616	86.8281	0.0
11.717	86.8047	0.0
11.818	86.7578	0.0
11.919	86.6641	0.0
12.02	86.6172	0.0
12.121	86.5469	0.0
12.222	86.5469	0.0
12.323	86.6172	0.0
12.424	86.5391	0.0
12.525	86.4453	0.0
12.625	86.3281	0.0
12.727	86.3281	0.0
12.828	86.3047	0.0
12.929	86.2422	0.0
13.03	86.2813	0.0
13.13	86.1172	0.0
13.232	86.1719	0.0
13.333	86.0781	0.0
13.433	86.0469	0.0
13.535	86.0234	0.0
13.635	85.9844	0.0
13.737	85.8906	0.0
13.838	85.8359	0.0
13.938	85.8359	0.0
14.04	85.7656	0.0
14.14	85.7656	0.0
14.241	85.75	0.0
14.343	85.7266	0.0
14.443	85.7188	0.0
14.544	85.6172	0.0
14.646	85.5234	0.0
14.746	85.4766	0.0
14.848	85.4766	0.0
14.948	85.4766	0.0
15.049	85.4063	0.0
15.151	85.3594	0.0
15.251	85.2891	0.0
15.352	85.1953	0.0
15.453	85.1641	0.0
15.554	85.2109	0.0
15.655	85.1953	0.0
15.756	85.1484	0.0
15.857	85.0703	0.0
15.958	85.0313	0.0
16.059	84.9844	0.0
16.16	84.9766	0.0
16.261	84.8594	0.0
16.362	84.8203	0.0
16.463	84.7891	0.0
16.564	84.7969	0.0
16.665	84.7891	0.0
16.766	84.7266	0.0
16.867	84.6797	0.0
16.968	84.6563	0.0
17.069	84.6016	0.0
17.17	84.5547	0.0
17.27	84.5156	0.0
17.372	84.4688	0.0
17.473	84.4688	0.0
17.573	84.375	0.0
17.675	84.375	0.0
17.775	84.2578	0.0
17.877	84.2734	0.0
17.978	84.25	0.0
18.078	84.2031	0.0
18.18	84.1641	0.0
18.28	84.1328	0.0
18.381	84.1328	0.0
18.483	84.0859	0.0
18.583	83.9453	0.0
18.684	83.9453	0.0
18.786	83.9531	0.0
18.886	83.8828	0.0
18.988	83.8828	0.0
19.088	83.8828	0.0
19.189	83.7891	0.0
19.291	83.7422	0.0
19.391	83.7891	0.0
19.492	83.7109	0.0
19.593	83.5859	0.0
19.694	83.5313	0.0
19.796	83.5313	0.0
19.896	83.5078	0.0
19.997	83.4922	0.0
20.098	83.3906	0.0
20.199	83.4375	0.0
20.3	83.3672	0.0
20.401	83.3516	0.0
20.502	83.2578	0.0
20.602	83.2344	0.0
20.704	83.1641	0.0
20.805	83.0703	0.0
20.906	83.1406	0.0
21.007	83.1094	0.0
21.108	83.0391	0.0
21.209	83.0234	0.0
21.31	82.9453	0.0
21.41	82.8984	0.0
21.512	82.875	0.0
21.613	82.8984	0.0
21.713	82.8828	0.0
21.815	82.7891	0.0
21.915	82.7656	0.0
22.017	82.7344	0.0
22.118	82.6875	0.0
22.218	82.625	0.0
22.32	82.5703	0.0
22.42	82.5234	0.0
22.521	82.4844	0.0
22.623	82.4375	0.0
22.723	82.4063	0.0
22.825	82.4297	0.0
22.925	82.3438	0.0
23.026	82.2969	0.0
23.128	82.2891	0.0
23.228	82.25	0.0
23.329	82.2031	0.0
23.431	82.2266	0.0
23.531	82.1094	0.0
23.632	82.0547	0.0
23.733	82.0859	0.0
23.834	82.0391	0.0
23.936	81.9922	0.0
24.036	81.9141	0.0
24.137	81.8906	0.0
24.238	81.8203	0.0
24.339	81.8516	0.0
24.44	81.7031	0.0
24.541	81.6641	0.0
24.642	81.7734	0.0
24.742	81.6406	0.0
24.844	81.6016	0.0
24.945	81.4844	0.0
25.046	81.5	0.0
25.147	81.5234	0.0
25.247	81.4063	0.0
25.349	81.3203	0.0
25.45	81.2734	0.0
25.55	81.2891	0.0
25.652	81.3906	0.0
25.752	81.3125	0.0
25.854	81.2422	0.0
25.955	81.1953	0.0
26.055	81.1563	0.0
26.157	81.1563	0.0
26.257	80.9844	0.0
26.358	81.0313	0.0
26.46	80.9844	0.0
26.56	80.9453	0.0
26.661	80.8281	0.0
26.763	80.8984	0.0
26.863	80.9219	0.0
26.965	80.8281	0.0
27.065	80.6875	0.0
