DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	63.9688	0.0
2.935	63.9063	0.0
3.036	63.9063	0.0
3.137	63.8516	0.0
3.237	63.8984	0.0
3.339	63.7891	0.0
3.44	63.7578	0.0
3.541	63.7813	0.0
3.642	63.7422	0.0
3.742	63.7656	0.0
3.844	63.6875	0.0
3.944	63.6484	0.0
4.045	63.625	0.0
4.147	63.5859	0.0
4.247	63.5547	0.0
4.348	63.5625	0.0
4.449	63.4688	0.0
4.55	63.4375	0.0
4.652	63.4844	0.0
4.752	63.4141	0.0
4.853	63.4141	0.0
4.954	63.4141	0.0
5.055	63.3828	0.0
5.155	63.25	0.0
5.257	63.2188	0.0
5.358	63.2188	0.0
5.458	63.2188	0.0
5.56	63.1328	0.0
5.66	63.0625	0.0
5.762	63.1094	0.0
5.862	63.0938	0.0
5.963	63.0703	0.0
6.065	63.0156	0.0
6.165	62.9531	0.0
6.266	62.9922	0.0
6.367	63.0	0.0
6.468	62.875	0.0
6.57	62.8594	0.0
6.67	62.8359	0.0
6.771	62.8359	0.0
6.872	62.8047	0.0
6.973	62.7813	0.0
7.073	62.7578	0.0
7.175	62.7422	0.0
7.276	62.6875	0.0
7.376	62.5781	0.0
7.478	62.6016	0.0
7.578	62.5547	0.0
7.68	62.5	0.0
7.78	62.5078	0.0
7.881	62.4844	0.0
7.983	62.4297	0.0
8.083	62.3672	0.0
8.184	62.3906	0.0
8.285	62.3672	0.0
8.386	62.3438	0.0
8.487	62.3203	0.0
8.588	62.2891	0.0
8.689	62.2969	0.0
8.79	62.1797	0.0
8.891	62.2109	0.0
8.991	62.1641	0.0
9.093	62.2031	0.0
9.194	62.0938	0.0
9.294	62.0625	0.0
9.396	62.0469	0.0
9.496	62.0234	0.0
9.598	62.0234	0.0
9.698	61.9531	0.0
9.799	61.9219	0.0
9.901	61.9688	0.0
10.001	61.8828	0.0
10.102	61.8281	0.0
10.203	61.8125	0.0
10.304	61.7578	0.0
10.405	61.8281	0.0
10.506	61.7344	0.0
10.607	61.7422	0.0
10.709	61.7109	0.0
10.809	61.6172	0.0
10.91	61.6016	0.0
11.011	61.5469	0.0
11.112	61.5703	0.0
11.213	61.5781	0.0
11.314	61.5234	0.0
11.415	61.5	0.0
11.516	61.5	0.0
11.617	61.4531	0.0
11.718	61.3828	0.0
11.819	61.4063	0.0
11.92	61.2578	0.0
12.021	61.2344	0.0
12.122	61.1953	0.0
12.223	61.2344	0.0
12.324	61.1953	0.0
12.425	61.2031	0.0
12.526	61.2031	0.0
12.626	61.0781	0.0
12.728	61.0469	0.0
12.829	61.0156	0.0
12.93	61.0625	0.0
13.031	61.0	0.0
13.132	60.9688	0.0
13.233	60.9766	0.0
13.334	60.9766	0.0
13.434	60.8516	0.0
13.536	60.8516	0.0
13.637	60.8047	0.0
13.738	60.8281	0.0
13.839	60.8125	0.0
13.94	60.7578	0.0
14.041	60.7891	0.0
14.142	60.6484	0.0
14.242	60.6875	0.0
14.344	60.6641	0.0
14.445	60.5781	0.0
14.545	60.5547	0.0
14.647	60.4766	0.0
14.748	60.4766	0.0
14.849	60.5078	0.0
14.95	60.5078	0.0
15.05	60.4141	0.0
15.152	60.4141	0.0
15.253	60.4297	0.0
15.353	60.3438	0.0
15.455	60.3359	0.0
15.556	60.2734	0.0
15.657	60.2578	0.0
15.758	60.2734	0.0
15.858	60.2578	0.0
15.96	60.1406	0.0
16.061	60.1328	0.0
16.161	60.1172	0.0
16.263	60.1406	0.0
16.364	60.0156	0.0
16.464	60.0391	0.0
16.566	60.0156	0.0
16.666	60.0156	0.0
