DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	90.2813	0.0
2.935	90.2344	0.0
3.036	90.2266	0.0
3.137	90.0625	0.0
3.237	90.0859	0.0
3.339	90.0234	0.0
3.439	90.0234	0.0
3.541	89.9531	0.0
3.642	89.9297	0.0
3.742	89.9297	0.0
3.844	89.8203	0.0
3.944	89.7969	0.0
4.045	89.7656	0.0
4.146	89.6797	0.0
4.247	89.6797	0.0
4.348	89.5859	0.0
4.449	89.5078	0.0
4.55	89.5078	0.0
4.651	89.5078	0.0
4.752	89.4922	0.0
4.852	89.4219	0.0
4.954	89.3047	0.0
5.054	89.2969	0.0
5.155	89.2734	0.0
5.257	89.1875	0.0
5.357	89.25	0.0
5.458	89.1328	0.0
5.559	89.0391	0.0
5.66	88.9688	0.0
5.761	88.9531	0.0
5.862	88.9297	0.0
5.962	88.875	0.0
6.064	88.8359	0.0
6.165	88.8125	0.0
6.265	88.7656	0.0
6.367	88.6719	0.0
6.467	88.6641	0.0
6.569	88.6406	0.0
6.669	88.6172	0.0
6.77	88.4844	0.0
6.871	88.3828	0.0
6.972	88.4141	0.0
7.073	88.4531	0.0
7.174	88.3672	0.0
7.275	88.2266	0.0
7.375	88.1797	0.0
7.477	88.1719	0.0
7.577	88.0859	0.0
7.679	88.0313	0.0
7.779	88.0156	0.0
7.88	88.0078	0.0
7.982	87.9453	0.0
8.082	87.9375	0.0
8.183	87.7031	0.0
8.284	87.75	0.0
8.385	87.75	0.0
8.485	87.6406	0.0
8.587	87.6797	0.0
8.687	87.6016	0.0
8.789	87.6406	0.0
8.89	87.5469	0.0
8.99	87.4609	0.0
9.092	87.3828	0.0
9.192	87.3438	0.0
9.293	87.3672	0.0
9.394	87.3203	0.0
9.495	87.1719	0.0
9.595	87.1563	0.0
