DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	84.3906	0.0
2.935	84.375	0.0
3.036	84.3203	0.0
3.137	84.2813	0.0
3.237	84.2266	0.0
3.339	84.1563	0.0
3.439	84.1641	0.0
3.541	84.1172	0.0
3.642	84.1328	0.0
3.742	84.1094	0.0
3.844	84.0625	0.0
3.944	84.0625	0.0
4.045	83.8984	0.0
4.147	83.9453	0.0
4.247	83.8125	0.0
4.348	83.7891	0.0
4.449	83.7813	0.0
4.55	83.6641	0.0
4.651	83.6641	0.0
4.752	83.6719	0.0
4.853	83.6094	0.0
4.954	83.5859	0.0
5.055	83.5859	0.0
5.155	83.4375	0.0
5.257	83.4219	0.0
5.358	83.4453	0.0
5.458	83.3047	0.0
5.56	83.3516	0.0
5.66	83.2813	0.0
5.762	83.25	0.0
5.862	83.2031	0.0
5.963	83.1563	0.0
6.065	83.1563	0.0
6.165	83.1328	0.0
6.266	83.0391	0.0
6.367	82.9531	0.0
6.468	82.8984	0.0
6.569	82.9219	0.0
6.67	82.9297	0.0
6.771	82.8594	0.0
6.872	82.7422	0.0
6.973	82.6953	0.0
7.073	82.6641	0.0
7.175	82.6406	0.0
7.276	82.5313	0.0
7.376	82.6172	0.0
7.478	82.5547	0.0
7.578	82.4609	0.0
7.68	82.5	0.0
7.78	82.4766	0.0
7.881	82.3906	0.0
7.983	82.3438	0.0
8.083	82.2734	0.0
8.184	82.1797	0.0
8.285	82.1719	0.0
8.386	82.1328	0.0
8.487	82.0391	0.0
8.588	82.0391	0.0
8.689	82.0313	0.0
8.79	82.0156	0.0
8.891	81.9219	0.0
8.991	81.9844	0.0
9.093	81.875	0.0
9.194	81.8047	0.0
9.294	81.7734	0.0
9.396	81.7578	0.0
9.496	81.7578	0.0
9.598	81.7266	0.0
9.698	81.6328	0.0
9.799	81.5781	0.0
9.901	81.5234	0.0
10.001	81.5078	0.0
10.102	81.4063	0.0
10.203	81.4063	0.0
10.304	81.4531	0.0
10.405	81.2266	0.0
10.506	81.2891	0.0
10.607	81.25	0.0
10.709	81.2266	0.0
10.809	81.1719	0.0
10.91	81.0547	0.0
11.011	81.0391	0.0
11.112	80.9922	0.0
11.213	81.0391	0.0
11.314	80.9609	0.0
11.415	80.9453	0.0
11.516	80.9141	0.0
11.617	80.8672	0.0
11.718	80.7109	0.0
11.819	80.7734	0.0
11.92	80.7344	0.0
12.021	80.7031	0.0
12.122	80.6094	0.0
12.223	80.5625	0.0
12.324	80.5391	0.0
12.425	80.5156	0.0
12.526	80.4453	0.0
12.626	80.4219	0.0
12.728	80.3516	0.0
12.829	80.2656	0.0
12.93	80.3125	0.0
13.031	80.2344	0.0
13.132	80.2344	0.0
13.233	80.125	0.0
13.334	80.1172	0.0
13.434	80.0938	0.0
13.536	80.0547	0.0
13.637	79.9609	0.0
13.738	79.9609	0.0
13.839	79.9297	0.0
13.94	79.8594	0.0
14.041	79.7422	0.0
14.142	79.7188	0.0
14.243	79.7734	0.0
14.344	79.7188	0.0
14.445	79.625	0.0
14.545	79.5859	0.0
14.647	79.5859	0.0
14.748	79.5625	0.0
14.849	79.5625	0.0
14.95	79.4531	0.0
15.051	79.4453	0.0
15.152	79.3594	0.0
15.253	79.4063	0.0
15.353	79.3125	0.0
15.455	79.2344	0.0
15.556	79.2344	0.0
15.657	79.2344	0.0
15.758	79.1172	0.0
15.859	79.0469	0.0
15.96	79.0234	0.0
16.061	79.0	0.0
16.162	79.0547	0.0
16.263	78.9844	0.0
16.364	78.9297	0.0
16.464	78.8594	0.0
16.566	78.7734	0.0
16.667	78.7734	0.0
16.768	78.7891	0.0
16.869	78.7266	0.0
16.97	78.6953	0.0
17.071	78.6484	0.0
17.172	78.6016	0.0
17.272	78.6016	0.0
17.374	78.4609	0.0
17.475	78.4219	0.0
17.575	78.4375	0.0
17.677	78.3984	0.0
17.778	78.3359	0.0
17.879	78.3984	0.0
17.98	78.3125	0.0
18.081	78.2656	0.0
18.182	78.1953	0.0
18.283	78.1641	0.0
18.383	78.1875	0.0
18.485	78.125	0.0
18.586	78.0547	0.0
18.687	78.0469	0.0
18.788	77.9766	0.0
18.889	77.9531	0.0
18.99	77.9609	0.0
19.091	77.8281	0.0
19.191	77.7578	0.0
19.293	77.8281	0.0
19.394	77.7266	0.0
19.494	77.7031	0.0
19.596	77.6563	0.0
19.697	77.5938	0.0
19.798	77.5859	0.0
19.899	77.5469	0.0
20.0	77.5625	0.0
20.101	77.5391	0.0
20.202	77.4766	0.0
20.302	77.4219	0.0
20.404	77.3281	0.0
20.505	77.3516	0.0
20.606	77.2891	0.0
20.707	77.2578	0.0
20.808	77.2344	0.0
20.909	77.1719	0.0
21.01	77.1406	0.0
21.11	77.1016	0.0
21.212	77.0469	0.0
21.313	77.0313	0.0
21.413	76.9531	0.0
21.515	76.8594	0.0
21.616	76.8594	0.0
21.717	76.8594	0.0
21.818	76.8359	0.0
21.918	76.7734	0.0
22.02	76.7969	0.0
22.121	76.6719	0.0
22.221	76.5781	0.0
22.323	76.6328	0.0
22.424	76.625	0.0
22.524	76.5313	0.0
22.626	76.4844	0.0
22.727	76.4219	0.0
22.828	76.5078	0.0
22.929	76.4688	0.0
23.029	76.375	0.0
23.131	76.2813	0.0
23.232	76.3047	0.0
23.332	76.25	0.0
23.434	76.2031	0.0
23.535	76.1875	0.0
23.636	76.125	0.0
23.737	76.0938	0.0
23.837	76.0703	0.0
23.939	76.0234	0.0
24.04	75.9531	0.0
24.14	75.9609	0.0
24.242	75.9063	0.0
24.343	75.8594	0.0
24.443	75.8516	0.0
24.545	75.7969	0.0
24.645	75.75	0.0
24.747	75.75	0.0
24.848	75.5859	0.0
24.948	75.6641	0.0
25.05	75.6875	0.0
25.151	75.5859	0.0
25.251	75.4531	0.0
25.353	75.4922	0.0
25.453	75.5156	0.0
25.554	75.4297	0.0
25.656	75.375	0.0
25.756	75.3125	0.0
25.858	75.2891	0.0
25.959	75.2656	0.0
26.059	75.2578	0.0
26.161	75.1953	0.0
26.262	75.1406	0.0
26.362	75.0781	0.0
26.464	75.1094	0.0
26.564	75.0313	0.0
26.666	75.0313	0.0
26.767	74.9375	0.0
26.867	74.9844	0.0
26.969	74.9844	0.0
27.07	74.9141	0.0
27.17	74.8203	0.0
27.272	74.8906	0.0
27.372	74.7969	0.0
27.473	74.7031	0.0
27.575	74.6797	0.0
27.675	74.6406	0.0
27.777	74.5859	0.0
27.878	74.5156	0.0
27.978	74.5859	0.0
28.08	74.5156	0.0
28.18	74.4688	0.0
28.281	74.4219	0.0
28.383	74.3984	0.0
28.483	74.3359	0.0
28.585	74.3516	0.0
28.686	74.2578	0.0
28.786	74.2656	0.0
28.888	74.1719	0.0
28.989	74.1953	0.0
29.089	74.1484	0.0
29.191	74.0781	0.0
29.291	74.0938	0.0
29.392	74.1016	0.0
29.494	74.0	0.0
29.594	73.9531	0.0
29.696	73.9453	0.0
29.797	73.875	0.0
29.897	73.8047	0.0
29.999	73.8047	0.0
30.099	73.8516	0.0
30.2	73.7813	0.0
30.302	73.6953	0.0
30.402	73.6875	0.0
30.503	73.6406	0.0
30.605	73.6719	0.0
30.705	73.4844	0.0
30.807	73.4766	0.0
30.907	73.4844	0.0
31.008	73.4375	0.0
31.11	73.4141	0.0
31.21	73.3125	0.0
31.311	73.3828	0.0
31.413	73.3125	0.0
31.513	73.2969	0.0
31.615	73.25	0.0
31.715	73.25	0.0
31.816	73.1563	0.0
31.918	73.1328	0.0
32.018	73.0625	0.0
32.119	73.0781	0.0
32.221	73.0625	0.0
32.321	73.0313	0.0
32.422	72.9453	0.0
32.523	72.9531	0.0
32.624	72.9219	0.0
32.726	72.8594	0.0
32.826	72.8047	0.0
32.927	72.8281	0.0
33.029	72.7891	0.0
33.129	72.8516	0.0
33.23	72.7578	0.0
33.331	72.7344	0.0
33.432	72.5781	0.0
33.534	72.4844	0.0
33.634	72.5547	0.0
33.735	72.5	0.0
33.837	72.4688	0.0
33.937	72.4453	0.0
34.038	72.4219	0.0
34.139	72.3359	0.0
34.24	72.3047	0.0
34.341	72.1953	0.0
34.442	72.2891	0.0
34.543	72.2344	0.0
34.645	72.1484	0.0
34.745	72.1875	0.0
34.846	72.125	0.0
34.947	72.0703	0.0
35.048	72.0547	0.0
35.149	71.9844	0.0
35.25	71.9766	0.0
35.351	71.9375	0.0
35.452	71.8828	0.0
35.553	71.8672	0.0
35.654	71.8203	0.0
35.755	71.7969	0.0
35.856	71.7891	0.0
35.957	71.8359	0.0
36.058	71.7031	0.0
36.159	71.6016	0.0
36.26	71.5625	0.0
36.361	71.5625	0.0
36.462	71.5078	0.0
36.562	71.5313	0.0
36.664	71.3906	0.0
36.765	71.4844	0.0
36.866	71.4609	0.0
36.967	71.3672	0.0
37.068	71.3203	0.0
37.169	71.3281	0.0
37.27	71.2813	0.0
37.37	71.1953	0.0
37.472	71.2734	0.0
37.573	71.2188	0.0
37.674	71.1406	0.0
37.775	71.0781	0.0
37.876	71.0547	0.0
37.977	71.0547	0.0
38.078	70.9688	0.0
38.179	70.9922	0.0
38.28	70.8516	0.0
38.381	70.8047	0.0
38.481	70.875	0.0
38.583	70.8281	0.0
38.684	70.7656	0.0
38.785	70.7656	0.0
38.886	70.7188	0.0
38.987	70.6953	0.0
39.088	70.6641	0.0
39.189	70.6172	0.0
39.289	70.5703	0.0
39.391	70.5234	0.0
39.492	70.5078	0.0
39.593	70.4609	0.0
39.694	70.3828	0.0
39.795	70.4375	0.0
39.896	70.3359	0.0
39.997	70.3125	0.0
40.097	70.2656	0.0
40.199	70.2891	0.0
40.3	70.2422	0.0
40.4	70.1953	0.0
40.502	70.1797	0.0
40.603	70.0781	0.0
40.704	70.0547	0.0
40.805	70.0547	0.0
40.907	69.9922	99.99839997439959
41.008	70.0078	99.99839997439959
41.109	69.9297	99.99839997439959
41.21	69.9063	99.99839997439959
41.312	69.8828	99.99839997439959
41.413	69.8672	99.99839997439959
41.515	69.8594	99.99839997439959
41.615	69.8125	99.99839997439959
41.716	69.7891	99.99839997439959
41.818	69.7188	99.99839997439959
41.919	69.6484	99.99839997439959
42.02	69.6719	99.99839997439959
42.122	69.6563	99.99839997439959
42.222	69.6094	99.99839997439959
42.324	69.6719	99.99839997439959
42.425	69.5859	99.99839997439959
42.526	69.5	99.99839997439959
42.628	69.4453	99.99839997439959
42.729	69.4531	99.99839997439959
42.829	69.4688	99.99839997439959
42.931	69.4531	99.99839997439959
43.032	69.4297	99.99839997439959
43.134	69.4688	99.99839997439959
43.235	69.2891	99.99839997439959
43.336	69.2891	99.99839997439959
43.437	69.3359	99.99839997439959
43.538	69.3047	99.99839997439959
43.639	69.2109	99.99839997439959
43.741	69.2578	99.99839997439959
43.842	69.2813	99.99839997439959
43.942	69.2656	99.99839997439959
44.044	69.2578	99.99839997439959
44.145	69.1953	99.99839997439959
44.247	69.2578	99.99839997439959
44.348	69.2891	99.99839997439959
44.449	69.2422	99.99839997439959
44.55	69.2656	99.99839997439959
44.651	69.2109	99.99839997439959
