DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
0.605	100.0313	51.20081921310741
0.706	100.0313	51.20081921310741
0.807	100.0313	51.20081921310741
0.908	100.0859	51.20081921310741
1.009	100.0781	51.20081921310741
1.111	100.1016	51.20081921310741
1.211	100.0781	51.20081921310741
1.312	100.0781	51.20081921310741
1.414	100.0625	51.20081921310741
1.515	100.0625	51.20081921310741
1.615	100.0859	51.20081921310741
1.717	100.1484	51.20081921310741
1.818	100.1328	51.20081921310741
1.92	100.1875	51.20081921310741
2.021	100.125	51.20081921310741
2.121	100.0859	51.20081921310741
2.223	100.1953	51.20081921310741
2.324	100.1953	51.20081921310741
2.425	100.2109	51.20081921310741
2.526	100.0859	51.20081921310741
2.627	100.1953	51.20081921310741
2.729	100.1719	51.20081921310741
2.83	100.1719	51.20081921310741
2.93	100.2188	51.20081921310741
3.032	100.2188	51.20081921310741
3.133	100.2188	51.20081921310741
3.234	100.1875	51.20081921310741
3.335	100.1719	51.20081921310741
3.436	100.2813	51.20081921310741
3.537	100.1484	51.20081921310741
3.639	100.1875	51.20081921310741
3.739	100.1563	51.20081921310741
3.841	100.1953	51.20081921310741
3.942	100.1563	51.20081921310741
4.043	100.1563	51.20081921310741
4.144	100.1563	51.20081921310741
4.245	100.1094	51.20081921310741
4.346	100.125	51.20081921310741
4.448	100.1328	51.20081921310741
4.548	100.1719	51.20081921310741
4.65	100.1328	51.20081921310741
4.751	100.1484	51.20081921310741
4.852	100.0391	51.20081921310741
4.953	100.0391	51.20081921310741
5.054	100.1328	51.20081921310741
5.155	100.1484	51.20081921310741
5.257	100.1484	51.20081921310741
5.357	100.0859	51.20081921310741
5.458	100.1094	51.20081921310741
5.56	100.0859	51.20081921310741
5.661	100.0781	51.20081921310741
5.762	100.0625	51.20081921310741
5.863	100.0625	51.20081921310741
5.964	100.0625	51.20081921310741
6.066	100.0859	51.20081921310741
6.166	100.1563	51.20081921310741
6.267	100.0781	51.20081921310741
6.369	100.1016	51.20081921310741
6.47	100.0859	51.20081921310741
6.571	100.0547	51.20081921310741
6.672	100.125	51.20081921310741
6.773	100.1328	51.20081921310741
6.875	100.0781	51.20081921310741
6.975	100.0391	51.20081921310741
7.076	100.0156	51.20081921310741
7.178	100.0547	51.20081921310741
7.279	100.0078	51.20081921310741
7.38	100.0313	51.20081921310741
7.481	100.0391	51.20081921310741
7.582	100.0625	51.20081921310741
7.684	100.0313	51.20081921310741
7.784	100.0078	51.20081921310741
7.885	100.0156	51.20081921310741
7.987	100.0156	51.20081921310741
8.088	100.0156	51.20081921310741
8.188	99.9922	51.20081921310741
8.29	100.0078	51.20081921310741
8.391	99.9453	51.20081921310741
8.493	99.9453	51.20081921310741
8.594	99.9609	51.20081921310741
8.694	100.0625	51.20081921310741
8.796	99.9609	51.20081921310741
8.897	99.8594	51.20081921310741
8.998	99.8594	51.20081921310741
9.099	99.8984	51.20081921310741
9.2	99.9141	51.20081921310741
9.302	99.8359	51.20081921310741
9.403	99.8594	51.20081921310741
9.503	99.8594	51.20081921310741
9.605	99.8984	51.20081921310741
9.706	99.8359	51.20081921310741
9.807	99.875	51.20081921310741
9.908	99.8984	51.20081921310741
10.009	99.875	51.20081921310741
10.111	99.8281	51.20081921310741
10.212	99.7656	51.20081921310741
10.312	99.7344	51.20081921310741
10.414	99.7422	51.20081921310741
10.515	99.7578	51.20081921310741
10.616	99.8047	51.20081921310741
10.718	99.7109	51.20081921310741
10.818	99.7656	51.20081921310741
10.919	99.7578	51.20081921310741
11.021	99.7422	51.20081921310741
11.122	99.6719	51.20081921310741
11.224	99.6484	51.20081921310741
11.324	99.6719	51.20081921310741
11.425	99.7422	51.20081921310741
11.527	99.6641	51.20081921310741
11.628	99.6875	51.20081921310741
11.729	99.625	51.20081921310741
11.83	99.6719	51.20081921310741
11.931	99.6719	51.20081921310741
12.033	99.6094	51.20081921310741
12.134	99.6016	51.20081921310741
12.235	99.6094	51.20081921310741
12.336	99.6094	51.20081921310741
12.437	99.5859	51.20081921310741
12.538	99.5625	51.20081921310741
12.64	99.5391	51.20081921310741
12.741	99.5547	51.20081921310741
12.842	99.5625	51.20081921310741
12.943	99.5391	51.20081921310741
13.044	99.4922	51.20081921310741
13.146	99.5156	51.20081921310741
13.247	99.5078	51.20081921310741
13.347	99.4688	51.20081921310741
13.449	99.4688	51.20081921310741
13.55	99.4219	51.20081921310741
13.652	99.4453	51.20081921310741
13.753	99.4219	51.20081921310741
13.853	99.4141	51.20081921310741
13.955	99.4375	51.20081921310741
14.056	99.4141	51.20081921310741
14.157	99.3672	51.20081921310741
14.259	99.3672	51.20081921310741
14.359	99.3516	51.20081921310741
14.46	99.3516	51.20081921310741
14.562	99.3438	51.20081921310741
14.663	99.3203	51.20081921310741
14.765	99.2969	51.20081921310741
14.865	99.25	51.20081921310741
14.966	99.2813	51.20081921310741
15.068	99.3047	51.20081921310741
15.169	99.3047	51.20081921310741
15.27	99.2969	51.20081921310741
15.371	99.2813	51.20081921310741
15.472	99.2266	51.20081921310741
15.574	99.2344	51.20081921310741
15.675	99.2344	51.20081921310741
15.775	99.2813	51.20081921310741
15.877	99.25	51.20081921310741
15.978	99.1953	51.20081921310741
16.079	99.125	51.20081921310741
16.181	99.1172	51.20081921310741
16.281	99.1641	51.20081921310741
16.383	99.1641	51.20081921310741
16.484	99.2266	51.20081921310741
16.585	99.1406	51.20081921310741
16.687	99.1641	51.20081921310741
16.787	99.1719	51.20081921310741
16.888	99.1016	51.20081921310741
16.99	99.0313	51.20081921310741
17.091	99.0938	51.20081921310741
17.193	99.125	51.20081921310741
17.293	98.9766	51.20081921310741
17.394	99.0469	51.20081921310741
17.496	99.0781	51.20081921310741
17.597	99.0547	51.20081921310741
17.698	98.9844	51.20081921310741
17.799	98.9844	51.20081921310741
17.9	99.0	51.20081921310741
18.001	98.9844	51.20081921310741
18.103	99.0313	51.20081921310741
18.204	99.0078	51.20081921310741
18.305	98.9531	51.20081921310741
18.406	98.9766	51.20081921310741
18.507	98.9531	51.20081921310741
18.609	98.9609	51.20081921310741
18.71	98.9297	51.20081921310741
18.81	98.8359	51.20081921310741
18.912	98.8438	51.20081921310741
19.013	98.8594	51.20081921310741
19.115	98.8594	51.20081921310741
19.216	98.8828	51.20081921310741
19.316	98.8438	51.20081921310741
19.418	98.8359	51.20081921310741
19.519	98.7969	51.20081921310741
19.62	98.7734	51.20081921310741
19.722	98.7578	51.20081921310741
19.822	98.7266	51.20081921310741
19.924	98.7031	51.20081921310741
20.025	98.75	51.20081921310741
20.126	98.75	51.20081921310741
20.228	98.75	51.20081921310741
20.328	98.7813	51.20081921310741
20.429	98.7578	51.20081921310741
20.531	98.7344	51.20081921310741
20.632	98.6563	51.20081921310741
20.732	98.5859	51.20081921310741
20.834	98.6563	51.20081921310741
20.935	98.6875	51.20081921310741
21.037	98.6641	51.20081921310741
21.138	98.7031	51.20081921310741
21.238	98.6641	51.20081921310741
21.34	98.5859	51.20081921310741
21.441	98.5703	51.20081921310741
21.542	98.5859	51.20081921310741
21.644	98.6328	51.20081921310741
21.744	98.5859	51.20081921310741
21.846	98.5703	51.20081921310741
21.947	98.5234	51.20081921310741
22.048	98.5234	51.20081921310741
22.15	98.5469	51.20081921310741
22.25	98.5234	51.20081921310741
22.351	98.4922	51.20081921310741
22.453	98.4063	51.20081921310741
22.554	98.5	51.20081921310741
22.656	98.4531	51.20081921310741
22.756	98.4922	51.20081921310741
22.857	98.4219	51.20081921310741
22.959	98.4453	51.20081921310741
23.06	98.3438	51.20081921310741
23.161	98.4453	51.20081921310741
23.262	98.3984	51.20081921310741
23.363	98.3594	51.20081921310741
23.465	98.4063	51.20081921310741
23.566	98.3594	51.20081921310741
23.667	98.3359	51.20081921310741
23.768	98.2734	51.20081921310741
23.869	98.25	51.20081921310741
23.97	98.25	51.20081921310741
24.072	98.3203	51.20081921310741
24.173	98.2656	51.20081921310741
24.273	98.2188	51.20081921310741
24.375	98.2422	51.20081921310741
24.476	98.2266	51.20081921310741
24.578	98.1719	51.20081921310741
24.679	98.1563	51.20081921310741
24.779	98.2266	51.20081921310741
24.881	98.1953	51.20081921310741
24.982	98.1328	51.20081921310741
25.083	98.1953	51.20081921310741
25.184	98.1797	51.20081921310741
25.285	98.0313	51.20081921310741
25.387	98.0625	51.20081921310741
25.488	98.0547	51.20081921310741
25.589	98.0781	51.20081921310741
25.69	98.0859	51.20081921310741
25.791	98.0781	51.20081921310741
25.892	98.0313	51.20081921310741
25.994	98.0391	51.20081921310741
26.095	98.0313	51.20081921310741
26.196	97.9531	51.20081921310741
26.297	98.0313	51.20081921310741
26.398	97.9531	51.20081921310741
26.5	97.9844	51.20081921310741
26.601	97.9453	51.20081921310741
26.701	97.9453	51.20081921310741
26.803	97.7891	51.20081921310741
26.904	97.9063	51.20081921310741
27.006	97.8984	51.20081921310741
27.107	97.8594	51.20081921310741
27.207	97.8359	51.20081921310741
27.309	97.7578	51.20081921310741
27.41	97.7891	51.20081921310741
