DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
0.605	27.5547	51.20081921310741
0.706	27.5156	51.20081921310741
0.806	27.4766	51.20081921310741
0.908	27.5156	51.20081921310741
1.009	27.5313	51.20081921310741
1.111	27.4688	51.20081921310741
1.211	27.5547	51.20081921310741
1.312	27.5	51.20081921310741
1.414	27.4922	51.20081921310741
1.515	27.4531	51.20081921310741
1.615	27.5313	51.20081921310741
1.717	27.5625	51.20081921310741
1.818	27.5547	51.20081921310741
1.92	27.5781	51.20081921310741
2.02	27.5625	51.20081921310741
2.121	27.5391	51.20081921310741
2.223	27.4688	51.20081921310741
2.324	27.5781	51.20081921310741
2.424	27.5391	51.20081921310741
2.526	27.5391	51.20081921310741
2.627	27.5	51.20081921310741
2.729	27.5547	51.20081921310741
2.829	27.4922	51.20081921310741
2.93	27.5547	51.20081921310741
3.032	27.4766	51.20081921310741
3.133	27.4531	51.20081921310741
3.233	27.4688	51.20081921310741
3.335	27.4766	51.20081921310741
3.436	27.4766	51.20081921310741
3.537	27.5156	51.20081921310741
3.638	27.5391	51.20081921310741
3.739	27.5156	51.20081921310741
3.841	27.5625	51.20081921310741
3.942	27.5391	51.20081921310741
4.042	27.4922	51.20081921310741
4.144	27.5156	51.20081921310741
4.245	27.5156	51.20081921310741
4.346	27.4766	51.20081921310741
4.447	27.5156	51.20081921310741
4.548	27.5625	51.20081921310741
4.65	27.4688	51.20081921310741
4.751	27.5859	51.20081921310741
4.851	27.5547	51.20081921310741
4.953	27.5156	51.20081921310741
5.054	27.5313	51.20081921310741
5.155	27.4922	51.20081921310741
5.256	27.4531	51.20081921310741
